component_id,date,component_name,type,language,category,license,author,ecosystem,downloads,stars,forks,contributors,open_issues,closed_issues,pull_requests,merged_prs,dependents,usage_growth,market_share,commits,releases,versions,has_new_release,quality_score,documentation_score,community_score,maturity_score,language_trend,category_trend,ecosystem_health,seasonality,hype_factor,future_downloads_3m,future_downloads_6m,future_downloads_12m,growth_rate_3m,growth_rate_6m,will_grow,downloads_ma3,downloads_ma6,growth_acceleration,momentum_score,relative_popularity
1,2022-11-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,922,2573,308,31,36,110,7,5,787,-0.138,0.029,18,0,1,0,0.786,0.508,1.000,0.700,0.947,0.988,1.025,0.800,1.000,884,1052,1148,-0.041,0.142,1,910,910,-0.376,0.456,0.084
1,2022-12-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,857,2547,305,31,25,102,7,5,790,-0.070,0.029,15,0,1,0,0.798,0.502,1.000,0.700,0.944,0.982,1.043,0.900,1.000,912,1167,1055,0.064,0.362,1,859,936,-0.599,-0.205,0.079
1,2023-01-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,799,2676,275,31,35,127,12,9,792,-0.068,0.012,57,0,1,0,0.785,0.497,1.000,0.700,0.977,0.987,0.901,1.000,1.000,994,1346,799,0.244,0.684,1,859,902,0.206,-0.197,0.074
1,2023-02-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,884,2649,358,31,32,121,7,6,795,0.106,0.035,16,0,1,0,0.770,0.490,1.000,0.700,0.974,0.987,0.873,1.073,1.000,1052,943,884,0.190,0.066,1,847,878,0.060,0.313,0.081
1,2023-03-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,912,2622,264,32,43,161,4,3,799,0.032,0.037,21,0,1,0,0.736,0.484,1.000,0.700,0.971,0.982,0.962,1.100,1.000,1167,1258,912,0.279,0.379,1,865,862,0.215,0.094,0.084
1,2023-04-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,994,2596,266,32,34,132,4,3,804,0.090,0.042,14,0,1,0,0.746,0.479,1.000,0.700,0.968,1.020,0.933,1.073,1.000,1346,1182,994,0.354,0.189,1,930,895,0.244,0.269,0.090
1,2023-05-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,1052,2570,277,33,42,144,9,7,810,0.058,0.036,40,0,1,0,0.756,0.474,1.000,0.700,0.965,0.995,1.046,1.000,1.000,943,1148,1052,-0.104,0.091,1,986,917,0.231,0.176,0.095
1,2023-06-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,1167,2544,325,33,43,169,2,1,817,0.109,0.039,12,0,1,0,0.717,0.471,1.000,0.700,0.962,0.983,0.984,0.900,1.000,1258,1055,1167,0.078,-0.096,0,1071,968,0.215,0.335,0.105
1,2023-07-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,1346,2523,301,32,37,160,2,1,827,0.153,0.057,12,1,2,1,0.699,0.469,1.000,0.700,0.959,0.982,0.989,0.800,1.000,1182,1346,1346,-0.122,0.000,0,1189,1059,0.109,0.478,0.119
1,2023-08-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,943,2498,263,32,31,135,3,2,833,-0.009,0.044,18,0,2,0,0.730,0.468,1.000,0.700,0.956,1.017,1.001,0.727,1.000,1148,943,943,0.217,0.000,0,1152,1069,-0.294,-0.891,0.086
1,2023-09-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,1258,2473,341,32,30,124,12,9,842,-0.056,0.041,53,0,2,0,0.677,0.469,1.000,0.700,0.953,1.014,1.047,0.700,1.000,1055,1258,1258,-0.162,0.000,0,1182,1127,-0.202,1.037,0.112
1,2023-10-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,1182,2448,331,32,24,108,6,4,850,-0.060,0.026,29,0,2,0,0.710,0.472,1.000,0.700,0.950,0.997,1.098,0.727,1.000,1182,1182,1182,0.000,0.000,0,1128,1158,-0.475,-0.185,0.106
1,2023-11-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,1148,2424,309,31,39,126,6,4,857,-0.029,0.024,26,0,2,0,0.692,0.476,1.000,0.700,0.947,1.003,1.050,0.800,1.000,1148,1148,1148,0.000,0.000,0,1196,1174,0.322,-0.089,0.103
1,2023-12-01,simple-library-1001-client,Library,PHP,Documentation,LGPL-2.1,Apache Software Foundation,Maven Central,1055,2399,337,31,27,120,8,6,863,-0.081,0.017,32,0,2,0,0.669,0.480,1.000,0.700,0.944,0.980,1.023,0.900,1.000,1055,1055,1055,0.000,0.000,0,1128,1155,-0.239,-0.245,0.095
2,2022-01-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,293,19,94,12,5,32,18,14,1598,0.000,0.017,70,0,1,0,0.831,0.827,1.000,0.700,0.977,1.020,0.840,1.000,1.000,551,512,230,0.881,0.749,1,0,0,0.000,0.000,0.028
2,2022-02-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,343,21,65,12,14,78,16,13,1597,-0.019,0.046,79,0,1,0,0.832,0.837,1.000,0.700,0.974,1.040,0.898,1.073,1.000,493,445,244,0.437,0.296,1,0,0,0.000,0.436,0.033
2,2022-03-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,341,20,90,12,10,65,18,13,1596,-0.005,0.011,85,0,1,0,0.821,0.847,1.000,0.700,0.971,1.060,0.994,1.100,1.000,502,385,245,0.471,0.128,1,326,0,0.000,-0.012,0.033
2,2022-04-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,551,21,101,12,14,67,18,12,1602,0.462,0.016,79,0,1,0,0.874,0.855,1.000,0.700,0.968,1.080,0.983,1.073,1.000,512,282,317,-0.070,-0.489,0,412,0,0.000,1.680,0.052
2,2022-05-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,493,20,84,12,5,29,17,12,1608,-0.013,0.031,74,0,1,0,0.846,0.862,1.000,0.700,0.965,1.100,0.998,1.000,1.000,445,254,317,-0.098,-0.485,0,462,0,0.000,-0.283,0.047
2,2022-06-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,502,22,96,12,5,19,17,15,1615,0.019,0.015,67,0,1,0,0.878,0.866,1.000,0.700,0.962,1.120,1.018,0.900,1.000,385,240,342,-0.233,-0.522,0,515,421,0.000,0.050,0.048
2,2022-07-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,512,22,62,12,9,48,24,20,1622,0.020,0.058,110,0,1,0,0.897,0.868,1.000,0.700,0.959,1.140,1.021,0.800,1.000,282,230,313,-0.450,-0.552,0,502,457,-0.951,0.053,0.049
2,2022-08-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,445,22,55,12,11,49,19,15,1626,-0.131,0.026,75,0,1,0,0.882,0.867,1.000,0.700,0.956,1.160,1.081,0.727,1.000,254,244,216,-0.429,-0.452,0,486,474,-0.534,-0.348,0.043
2,2022-09-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,385,22,11,14,13,76,15,12,1627,-0.134,0.041,67,0,1,0,0.880,0.864,1.000,0.700,0.953,1.180,1.043,0.700,1.000,240,245,226,-0.376,-0.363,0,447,481,-0.704,-0.348,0.037
2,2022-10-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,282,21,41,14,9,68,18,14,1625,-0.185,0.052,73,0,1,0,0.903,0.859,1.000,0.700,0.950,1.200,1.084,0.727,1.000,230,317,192,-0.185,0.124,1,371,436,-0.380,-0.658,0.027
2,2022-11-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,254,21,19,14,5,23,23,16,1621,-0.146,0.047,109,0,1,0,0.899,0.851,1.000,0.700,0.947,1.220,1.025,0.800,1.000,244,317,181,-0.041,0.250,1,307,397,-0.332,-0.237,0.025
2,2022-12-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,240,21,53,14,15,91,17,14,1615,-0.104,0.052,71,0,1,0,0.883,0.843,1.000,0.700,0.944,1.240,1.043,0.900,1.000,245,342,182,0.022,0.422,1,259,353,-0.143,-0.129,0.023
2,2023-01-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,230,21,57,15,18,103,12,9,1609,-0.044,0.056,59,0,1,0,0.887,0.833,1.000,0.700,0.977,1.020,0.901,1.000,1.000,317,313,230,0.379,0.364,1,241,306,0.265,-0.105,0.022
2,2023-02-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,244,20,72,15,16,57,16,13,1601,0.061,0.012,68,0,1,0,0.856,0.822,1.000,0.700,0.974,1.040,0.873,1.073,1.000,317,216,244,0.303,-0.113,0,238,272,0.389,0.146,0.024
2,2023-03-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,245,20,75,15,13,71,22,15,1596,0.008,0.059,99,1,2,1,0.858,0.812,1.000,0.700,0.971,1.060,0.962,1.100,1.000,342,226,245,0.391,-0.077,0,240,249,0.398,0.019,0.024
2,2023-04-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,317,20,99,15,14,80,15,12,1593,0.232,0.042,61,0,2,0,0.841,0.803,1.000,0.700,0.968,1.080,0.933,1.073,1.000,313,192,317,-0.011,-0.392,0,269,255,0.564,0.725,0.031
2,2023-05-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,317,20,79,16,13,79,12,10,1588,0.049,0.042,52,0,2,0,0.826,0.795,1.000,0.700,0.965,1.100,1.046,1.000,1.000,216,181,317,-0.319,-0.431,0,293,265,0.344,0.006,0.031
2,2023-06-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,342,20,85,15,5,57,8,7,1587,0.076,0.012,43,0,2,0,0.822,0.790,1.000,0.700,0.962,1.120,0.984,0.900,1.000,226,182,342,-0.337,-0.467,0,325,282,0.370,0.193,0.033
2,2023-07-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,313,20,19,15,10,57,15,12,1585,-0.083,0.023,71,2,4,1,0.815,0.786,1.000,0.700,0.959,1.140,0.989,0.800,1.000,192,313,313,-0.386,0.000,0,324,296,-0.390,-0.208,0.030
2,2023-08-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,216,20,91,15,11,45,8,6,1581,-0.144,0.054,41,0,4,0,0.789,0.785,1.000,0.700,0.956,1.160,1.001,0.727,1.000,181,216,216,-0.164,0.000,0,290,292,-0.622,-0.723,0.021
2,2023-09-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,226,20,31,15,5,41,11,8,1575,-0.155,0.021,50,0,4,0,0.800,0.787,1.000,0.700,0.953,1.180,1.047,0.700,1.000,182,226,226,-0.196,0.000,0,252,289,-0.729,0.112,0.022
2,2023-10-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,192,19,9,15,19,80,13,9,1567,-0.150,0.056,51,0,4,0,0.777,0.791,1.000,0.700,0.950,1.200,1.098,0.727,1.000,192,192,192,0.000,0.000,0,212,268,-0.374,-0.344,0.019
2,2023-11-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,181,20,63,15,15,82,11,8,1559,-0.061,0.011,52,0,4,0,0.784,0.798,1.000,0.700,0.947,1.220,1.050,0.800,1.000,181,181,181,0.000,0.000,0,200,245,0.155,-0.138,0.018
2,2023-12-01,light-library-1002,Library,PHP,Big Data,Unlicense,VMware,Maven Central,182,20,57,15,8,45,9,8,1550,-0.065,0.012,38,0,4,0,0.744,0.806,1.000,0.700,0.944,1.240,1.023,0.900,1.000,182,182,182,0.000,0.000,0,185,218,0.141,0.018,0.018
3,2022-01-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,66,2999,359,48,35,142,20,17,4823,0.000,0.052,81,0,1,0,0.737,0.631,1.000,0.550,0.993,1.020,0.840,1.000,1.000,75,102,66,0.136,0.535,1,0,0,0.000,0.000,0.007
3,2022-02-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,65,3641,400,48,45,149,16,14,4821,-0.041,0.031,74,0,1,0,0.784,0.639,1.000,0.550,1.025,1.040,0.898,1.073,1.000,80,93,77,0.223,0.422,1,0,0,0.000,-0.027,0.006
3,2022-03-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,75,4036,440,48,59,193,17,12,4827,0.180,0.049,88,0,1,0,0.761,0.646,1.000,0.550,0.989,1.060,0.994,1.100,1.000,83,76,97,0.102,0.018,0,69,0,0.000,0.279,0.007
3,2022-04-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,75,4126,427,48,42,159,18,15,4833,0.004,0.022,83,0,1,0,0.792,0.652,1.000,0.550,1.023,1.080,0.983,1.073,1.000,102,76,99,0.351,0.006,0,72,0,0.000,0.008,0.007
3,2022-05-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,80,4085,472,48,44,144,20,14,4842,0.061,0.040,93,0,1,0,0.804,0.657,1.000,0.550,1.048,1.100,0.998,1.000,1.000,93,65,97,0.162,-0.183,0,77,0,0.000,0.116,0.008
3,2022-06-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,83,4044,478,48,42,157,18,12,4853,0.034,0.039,85,0,1,0,0.830,0.661,1.000,0.550,1.035,1.120,1.018,0.900,1.000,76,69,111,-0.076,-0.168,0,79,74,0.000,0.066,0.008
3,2022-07-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,102,4003,425,48,49,158,17,14,4878,0.231,0.038,86,3,4,1,0.803,0.662,1.000,0.550,1.033,1.140,1.021,0.800,1.000,76,66,107,-0.255,-0.356,0,88,80,0.215,0.466,0.010
3,2022-08-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,93,3963,467,48,55,166,19,15,4897,-0.087,0.022,88,0,4,0,0.817,0.662,1.000,0.550,1.040,1.160,1.081,0.727,1.000,65,77,109,-0.297,-0.170,0,93,85,-0.061,-0.172,0.009
3,2022-09-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,76,3924,395,48,45,143,26,22,4916,-0.004,0.048,114,0,4,0,0.803,0.660,1.000,0.550,0.958,1.180,1.043,0.700,1.000,69,97,98,-0.099,0.269,1,90,85,-0.178,-0.336,0.008
3,2022-10-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,76,3885,419,48,55,195,18,13,4923,-0.180,0.026,71,0,4,0,0.804,0.655,1.000,0.550,1.022,1.200,1.084,0.727,1.000,66,99,82,-0.136,0.304,1,82,85,-0.606,-0.013,0.008
3,2022-11-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,65,3846,478,48,56,178,16,12,4923,-0.122,0.027,63,0,4,0,0.809,0.650,1.000,0.550,0.980,1.220,1.025,0.800,1.000,77,97,90,0.182,0.488,1,73,83,-0.460,-0.254,0.006
3,2022-12-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,69,3807,443,48,48,153,16,13,4924,0.033,0.032,67,0,4,0,0.802,0.643,1.000,0.550,0.953,1.240,1.043,0.900,1.000,97,111,103,0.409,0.605,1,70,80,-0.023,0.099,0.007
3,2023-01-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,66,3769,471,48,52,187,14,11,4927,0.029,0.020,66,2,6,1,0.808,0.635,1.000,0.550,1.008,1.020,0.901,1.000,1.000,99,107,66,0.509,0.634,1,67,74,0.119,-0.085,0.007
3,2023-02-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,77,3731,464,48,56,209,13,9,4935,0.092,0.047,64,0,6,0,0.837,0.627,1.000,0.550,1.024,1.040,0.873,1.073,1.000,97,109,77,0.259,0.407,1,71,72,0.479,0.335,0.008
3,2023-03-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,97,3783,384,48,39,125,17,14,4957,0.254,0.018,65,0,6,0,0.803,0.620,1.000,0.550,0.960,1.060,0.962,1.100,1.000,111,98,97,0.139,0.006,0,80,75,0.509,0.511,0.010
3,2023-04-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,99,3746,381,48,39,156,16,12,4981,0.021,0.024,63,0,6,0,0.786,0.613,1.000,0.550,1.043,1.080,0.933,1.073,1.000,107,82,99,0.083,-0.171,0,91,79,0.645,0.041,0.010
3,2023-05-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,97,3708,419,48,52,204,20,16,5004,-0.018,0.019,83,0,6,0,0.783,0.607,1.000,0.550,0.982,1.100,1.046,1.000,1.000,109,90,97,0.118,-0.076,0,98,84,0.077,-0.037,0.010
3,2023-06-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,111,4101,478,48,48,189,16,13,5037,0.137,0.059,67,0,6,0,0.769,0.603,1.000,0.550,1.040,1.120,0.984,0.900,1.000,98,103,111,-0.116,-0.070,0,102,91,-0.271,0.280,0.011
3,2023-07-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,107,4060,442,48,48,182,15,10,5077,0.085,0.025,60,0,6,0,0.747,0.600,1.000,0.550,0.992,1.140,0.989,0.800,1.000,82,107,107,-0.235,0.000,0,105,98,-0.427,-0.060,0.011
3,2023-08-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,109,4019,416,48,48,184,14,10,5109,-0.093,0.015,66,0,6,0,0.751,0.599,1.000,0.550,1.034,1.160,1.001,0.727,1.000,90,109,109,-0.174,0.000,0,109,103,-0.141,0.027,0.011
3,2023-09-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,98,3979,475,48,42,169,18,16,5133,-0.101,0.031,81,2,8,1,0.748,0.601,1.000,0.550,1.000,1.180,1.047,0.700,1.000,103,98,98,0.052,0.000,0,105,103,-0.255,-0.202,0.010
3,2023-10-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,82,4145,435,48,45,183,19,16,5145,-0.160,0.020,79,3,11,1,0.719,0.604,1.000,0.550,1.045,1.200,1.098,0.727,1.000,82,82,82,0.000,0.000,0,96,101,-0.317,-0.306,0.008
3,2023-11-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,90,4104,485,48,50,182,31,23,5160,0.052,0.023,153,0,11,0,0.700,0.609,1.000,0.550,1.016,1.220,1.050,0.800,1.000,90,90,90,0.000,0.000,0,90,99,-0.292,0.184,0.009
3,2023-12-01,super-api-1003-utils,API,C#,Big Data,AGPL-3.0,Eclipse Foundation,NuGet,103,4063,472,48,57,207,20,17,5175,-0.002,0.054,97,0,11,0,0.730,0.615,1.000,0.550,1.046,1.240,1.023,0.900,1.000,103,103,103,0.000,0.000,0,92,98,0.168,0.291,0.010
4,2022-01-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,46,1610,185,3,16,61,16,14,4402,0.000,0.013,74,0,1,0,0.690,0.910,1.000,0.700,0.993,1.001,0.840,1.000,1.000,70,69,57,0.510,0.490,1,0,0,0.000,0.000,0.005
4,2022-02-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,66,1598,242,3,23,70,16,13,4407,0.195,0.059,72,0,1,0,0.736,0.922,1.000,0.700,1.025,1.011,0.898,1.073,1.000,75,57,66,0.131,-0.140,0,0,0,0.000,0.786,0.007
4,2022-03-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,75,1582,246,5,33,103,15,11,4413,0.033,0.015,71,1,2,1,0.717,0.932,1.000,0.700,0.989,1.007,0.994,1.100,1.000,70,62,71,-0.066,-0.168,0,63,0,0.000,0.233,0.007
4,2022-04-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,70,1983,241,5,31,120,15,12,4424,0.023,0.017,72,0,2,0,0.721,0.941,1.000,0.700,1.023,1.018,0.983,1.073,1.000,69,43,83,-0.013,-0.389,0,70,0,0.000,-0.112,0.007
4,2022-05-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,75,1963,236,5,34,124,16,11,4439,0.071,0.052,63,0,2,0,0.732,0.949,1.000,0.700,1.048,0.984,0.998,1.000,1.000,57,44,93,-0.240,-0.415,0,73,0,0.000,0.133,0.007
4,2022-06-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,70,1943,287,5,22,87,11,7,4450,-0.071,0.040,57,0,2,0,0.783,0.953,1.000,0.700,1.035,1.008,1.018,0.900,1.000,62,48,106,-0.109,-0.310,0,72,67,0.000,-0.132,0.007
4,2022-07-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,69,1924,267,5,28,129,17,13,4460,-0.007,0.047,72,0,2,0,0.760,0.956,1.000,0.700,1.033,0.987,1.021,0.800,1.000,43,57,111,-0.381,-0.178,0,71,71,-0.524,-0.014,0.007
4,2022-08-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,57,1905,210,5,32,101,16,12,4471,0.006,0.024,74,1,3,1,0.759,0.955,1.000,0.700,1.040,1.004,1.081,0.727,1.000,44,66,98,-0.230,0.148,1,65,69,-0.371,-0.309,0.006
4,2022-09-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,62,1886,217,5,26,88,17,14,4476,-0.107,0.028,73,0,3,0,0.789,0.952,1.000,0.700,0.958,1.018,1.043,0.700,1.000,48,71,100,-0.225,0.138,1,63,67,-0.043,0.159,0.006
4,2022-10-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,43,1909,239,5,27,86,15,12,4473,-0.149,0.034,74,2,5,1,0.803,0.946,1.000,0.700,1.022,1.007,1.084,0.727,1.000,57,83,89,0.328,0.932,1,54,63,-0.367,-0.509,0.004
4,2022-11-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,44,1890,226,5,20,104,28,23,4472,0.050,0.059,123,0,5,0,0.772,0.938,1.000,0.700,0.980,0.986,1.025,0.800,1.000,66,93,70,0.491,1.113,1,50,58,0.010,0.042,0.004
4,2022-12-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,48,1881,201,5,21,66,15,12,4470,-0.028,0.034,75,0,5,0,0.801,0.928,1.000,0.700,0.953,0.997,1.043,0.900,1.000,71,106,76,0.469,1.194,1,45,54,-0.116,0.160,0.005
4,2023-01-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,57,1862,215,7,26,78,15,13,4471,0.055,0.026,72,0,5,0,0.781,0.917,1.000,0.700,1.008,0.991,0.901,1.000,1.000,83,111,57,0.455,0.948,1,50,52,0.709,0.323,0.006
4,2023-02-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,66,1844,197,7,25,83,17,14,4479,0.152,0.055,66,3,8,1,0.751,0.905,1.000,0.700,1.024,0.990,0.873,1.073,1.000,93,98,66,0.417,0.493,1,57,53,0.721,0.276,0.007
4,2023-03-01,template-1004-api,Template,C#,Networking,MIT,Spring,NuGet,71,1825,262,7,35,123,12,9,4489,0.043,0.044,56,0,8,0,0.774,0.894,1.000,0.700,0.960,1.017,0.962,1.100,1.000,106,100,71,0.493,0.416,1,64,55,0.695,0.146,0.007
