component_id,component_name,type,language,category,license,author,ecosystem,status,created_at,initial_quality,documentation_quality,has_website,has_examples,has_tutorials,has_ci,has_tests,contributors,forks,open_issues,closed_issues,dependencies,dependents
36,sdk-1036-client,SDK,Rust,Logging,GPL-3.0,Apache Software Foundation,Crates.io,Stable,2022-03-16,0.697,0.501,0,1,1,1,1,58,579,73,179,4,2637
37,mini-ui-components-utils,Framework,C#,UI Components,LGPL-2.1,VMware,NuGet,Experimental,2017-12-16,0.926,0.370,0,0,0,0,0,49,238,98,250,3,3284
38,mini-plugin-1038-client,Plugin,Swift,Networking,BSD-3-Clause,Amazon,Maven Central,Active,2022-10-16,0.756,0.937,0,0,1,1,1,25,52,39,304,19,3702
39,super-sdk-1039-lib,SDK,Kotlin,Security,GPL-3.0,Eclipse Foundation,Maven Central,Active,2021-10-16,0.557,0.376,0,1,0,0,1,15,579,28,77,9,4838
40,micro-starter-1040-spring-boot-starter,Starter,Rust,Utilities,GPL-3.0,Amazon,Crates.io,Stable,2020-11-16,0.914,0.800,0,1,1,1,0,43,583,82,308,10,1601
41,mini-library-1041-api,Library,Ruby,Security,MIT,Amazon,RubyGems,Deprecated,2023-10-16,0.989,0.596,0,1,0,1,0,40,210,47,10,10,1124
42,simple-framework-1042-core,Framework,C#,Serialization,BSD-3-Clause,Red Hat,NuGet,Stable,2022-06-16,0.833,0.765,0,1,0,1,0,20,899,54,75,15,1145
43,fast-security-lib,API,Rust,Security,MPL-2.0,Google,Crates.io,Stable,2020-08-16,0.905,1.000,0,0,0,1,1,27,147,36,398,42,3861
44,utilities-core,Starter,Python,Utilities,AGPL-3.0,JetBrains,PyPI,Legacy,2022-04-16,0.548,0.797,0,1,0,0,0,50,24,31,140,16,4484
45,fast-template-1045-utils,Template,TypeScript,Utilities,Unlicense,Facebook,npm,Maintained,2021-08-16,0.947,0.825,1,1,1,0,1,21,740,25,210,26,2810
46,light-code-analysis-lib,Driver,Kotlin,Code Analysis,MIT,University Research,Maven Central,Maintained,2019-02-16,0.934,0.717,0,0,0,0,1,10,127,97,67,40,4298
47,fast-starter-1047,Starter,Rust,Security,Unlicense,Facebook,Crates.io,Experimental,2020-12-16,0.900,0.337,1,0,0,1,1,16,589,19,58,40,1127
48,mini-tool-1048-client,Tool,Ruby,Utilities,ISC,Individual Contributors,RubyGems,Legacy,2020-09-16,0.692,0.330,0,1,0,0,0,9,874,98,281,25,909
49,easy-plugin-1049-api,Plugin,Kotlin,Messaging,BSD-3-Clause,Facebook,Maven Central,Experimental,2019-01-16,0.812,0.615,0,0,0,0,1,44,798,3,108,40,251
50,networking-lib,API,Java,Networking,AGPL-3.0,Red Hat,Maven Central,Experimental,2018-08-16,0.769,0.102,0,0,1,0,0,49,435,42,316,4,3891
51,light-testing-utils,Tool,Ruby,Testing,EPL-2.0,VMware,RubyGems,Stable,2018-03-16,0.711,0.712,0,0,0,1,1,17,382,73,130,39,3352
52,mini-logging,Template,C#,Logging,EPL-2.0,VMware,NuGet,Active,2020-12-16,0.617,0.736,0,1,1,0,0,4,612,93,41,35,3255
53,fast-machine-learning-core,Library,Scala,Machine Learning,ISC,VMware,Maven Central,Stable,2022-05-16,0.674,1.000,1,1,0,0,1,17,865,3,448,23,2235
54,mini-utilities-spring-boot-starter,Library,PHP,Utilities,EPL-2.0,JetBrains,Maven Central,Experimental,2020-09-16,0.564,0.475,1,0,0,1,1,40,89,92,393,1,3376
55,simple-plugin-1055-api,Plugin,PHP,Code Analysis,MIT,University Research,Maven Central,Legacy,2016-08-16,0.736,0.927,0,0,0,0,0,36,752,71,331,21,3123
56,sdk-1056,SDK,Ruby,Networking,AGPL-3.0,University Research,RubyGems,Maintained,2017-10-16,0.821,0.796,0,0,1,0,0,39,855,40,203,3,2548
57,mini-api-1057-api,API,Python,Testing,Apache-2.0,Red Hat,PyPI,Maintained,2022-11-16,0.521,0.716,1,1,0,1,1,8,899,46,424,47,4947
58,super-driver-1058-core,Driver,Kotlin,Machine Learning,GPL-3.0,Individual Contributors,Maven Central,Legacy,2019-05-16,0.977,0.522,1,1,0,0,1,3,489,70,239,32,1470
59,micro-driver-1059-spring-boot-starter,Driver,Rust,UI Components,AGPL-3.0,Spring,Crates.io,Legacy,2016-05-16,0.596,0.607,0,0,0,0,1,45,348,89,477,43,856
60,simple-caching-api,Library,TypeScript,Caching,ISC,Microsoft,npm,Deprecated,2022-05-16,0.522,0.679,0,0,0,1,1,37,863,40,237,42,3667
61,fast-starter-1061-core,Starter,Ruby,Build Tool,Apache-2.0,Amazon,RubyGems,Maintained,2023-01-16,0.818,0.604,0,0,1,0,0,13,477,67,42,14,3725
62,sdk-1062-spring-boot-starter,SDK,C#,Testing,Unlicense,Open Source Community,NuGet,Deprecated,2017-04-16,0.949,0.755,1,1,0,1,1,9,62,77,463,30,1758
63,easy-template-1063-utils,Template,Swift,Testing,ISC,Facebook,Maven Central,Active,2021-09-16,0.824,0.425,0,1,0,1,0,27,240,97,217,10,1697
64,driver-1064-lib,Driver,TypeScript,Networking,AGPL-3.0,Red Hat,npm,Active,2020-05-16,0.775,0.755,0,1,0,0,1,44,956,28,197,29,4225
65,simple-ui-components-lib,Library,Scala,UI Components,MPL-2.0,Spring,Maven Central,Experimental,2022-03-16,0.512,0.800,1,0,0,1,0,47,681,74,418,41,4141
66,simple-template-1066-spring-boot-starter,Template,JavaScript,Code Analysis,BSD-3-Clause,JetBrains,npm,Legacy,2019-03-16,0.926,0.608,0,1,1,0,1,40,9,82,103,16,2934
67,awesome-serialization-utils,Tool,PHP,Serialization,MIT,Individual Contributors,Maven Central,Experimental,2016-12-16,0.699,0.384,0,0,0,0,0,39,768,58,441,6,1839
68,light-caching-core,Plugin,Swift,Caching,MPL-2.0,Apache Software Foundation,Maven Central,Deprecated,2016-06-16,0.950,0.343,0,1,0,1,1,5,700,59,123,35,496
69,light-tool-1069-lib,Tool,C++,Security,Apache-2.0,Apache Software Foundation,Maven Central,Maintained,2019-10-16,0.526,0.506,0,0,0,0,1,24,629,1,406,36,123
70,micro-tool-1070-lib,Tool,Python,UI Components,Unlicense,University Research,PyPI,Active,2020-04-16,0.564,0.519,0,1,0,0,1,32,549,66,404,23,3244
71,easy-messaging-api,Framework,Go,Messaging,BSD-3-Clause,Google,Go Modules,Stable,2021-12-16,0.870,0.635,1,1,0,0,1,51,834,92,304,12,568
72,easy-networking-lib,Driver,Scala,Networking,MPL-2.0,Google,Maven Central,Active,2021-07-16,0.814,0.697,1,1,0,0,1,48,182,79,374,15,3690
73,easy-driver-1073-utils,Driver,Kotlin,Security,Unlicense,Microsoft,Maven Central,Deprecated,2017-07-16,0.758,0.497,0,1,0,1,1,3,430,97,199,34,2358
74,fast-api-1074-spring-boot-starter,API,TypeScript,Web Framework,BSD-3-Clause,Spring,npm,Maintained,2018-01-16,0.803,0.659,1,1,1,1,1,16,702,92,377,45,1897
75,mini-framework-1075-api,Framework,Kotlin,Caching,LGPL-2.1,Eclipse Foundation,Maven Central,Stable,2023-10-16,0.565,0.507,1,0,1,1,1,55,490,93,50,42,190
76,awesome-networking-utils,Tool,Go,Networking,EPL-2.0,Google,Go Modules,Deprecated,2021-05-16,0.762,0.856,1,0,1,1,1,13,246,72,293,4,4826
77,easy-sdk-1077-client,SDK,Python,Build Tool,AGPL-3.0,Red Hat,PyPI,Deprecated,2023-01-16,0.849,0.780,1,1,0,0,1,27,13,1,282,22,2096
78,mini-starter-1078-utils,Starter,Go,Machine Learning,Apache-2.0,Google,Go Modules,Deprecated,2018-08-16,0.944,0.307,0,1,1,0,0,11,757,55,181,22,1029
79,super-driver-1079-api,Driver,Java,Testing,AGPL-3.0,Apache Software Foundation,Maven Central,Maintained,2020-01-16,0.815,0.302,1,1,1,0,1,35,672,79,354,31,3588
80,awesome-sdk-1080-core,SDK,Python,Database Driver,BSD-3-Clause,Apache Software Foundation,PyPI,Maintained,2019-12-16,0.652,0.660,0,1,0,0,1,32,364,89,189,33,185
81,awesome-documentation-utils,Plugin,Go,Documentation,LGPL-2.1,University Research,Go Modules,Experimental,2024-01-16,0.901,0.492,0,0,1,0,0,30,243,85,155,23,3657
82,fast-machine-learning-api,API,Rust,Machine Learning,AGPL-3.0,Red Hat,Crates.io,Active,2022-04-16,0.886,0.434,0,0,1,1,1,43,147,54,23,23,3679
83,mini-plugin-1083-client,Plugin,Rust,Networking,Apache-2.0,Amazon,Crates.io,Experimental,2023-02-16,0.988,0.328,0,0,0,0,1,12,766,42,157,12,336
84,simple-starter-1084-api,Starter,Scala,Testing,Apache-2.0,Spring,Maven Central,Deprecated,2019-05-16,0.617,0.341,1,1,0,0,0,15,817,91,81,30,3790
85,fast-tool-1085-client,Tool,JavaScript,Big Data,Unlicense,Microsoft,npm,Deprecated,2018-02-16,0.738,0.252,0,0,1,1,1,37,208,70,19,9,1632
86,template-1086-lib,Template,Python,Serialization,LGPL-2.1,Google,PyPI,Maintained,2023-02-16,0.689,0.775,0,1,0,1,1,6,183,22,47,17,3264
87,super-library-1087-api,Library,TypeScript,UI Components,MIT,Red Hat,npm,Maintained,2016-08-16,0.554,0.950,1,1,0,1,1,27,97,85,126,22,4266
88,simple-sdk-1088-client,SDK,Swift,Serialization,AGPL-3.0,University Research,Maven Central,Experimental,2017-07-16,0.836,0.376,0,0,1,1,0,41,892,33,150,34,2266
89,micro-driver-1089-api,Driver,Rust,Caching,AGPL-3.0,Eclipse Foundation,Crates.io,Active,2017-09-16,0.668,0.306,1,1,0,0,1,45,11,55,273,7,3317
90,library-1090-core,Library,Java,Networking,BSD-3-Clause,Facebook,Maven Central,Deprecated,2019-01-16,0.839,0.580,0,1,0,0,1,43,313,55,390,27,2487
91,micro-api-1091-spring-boot-starter,API,Kotlin,Messaging,MPL-2.0,Eclipse Foundation,Maven Central,Active,2023-07-16,0.852,0.533,0,1,0,1,0,49,732,16,65,2,2251
92,super-starter-1092-client,Starter,Kotlin,Code Analysis,ISC,VMware,Maven Central,Deprecated,2023-07-16,0.794,0.729,0,0,0,0,1,30,974,12,159,30,917
93,super-logging-client,Driver,PHP,Logging,Apache-2.0,University Research,Maven Central,Legacy,2017-10-16,0.751,0.975,1,1,0,0,0,25,268,13,186,48,329
94,mini-database-driver-spring-boot-starter,Driver,Swift,Database Driver,Unlicense,Individual Contributors,Maven Central,Stable,2023-03-16,0.689,0.814,0,1,0,1,0,13,996,34,217,0,3795
95,documentation-core,Starter,C++,Documentation,GPL-3.0,University Research,Maven Central,Maintained,2018-11-16,0.707,0.542,0,0,0,0,1,36,620,97,466,0,889
96,light-framework-1096-spring-boot-starter,Framework,TypeScript,Caching,BSD-3-Clause,Apache Software Foundation,npm,Active,2023-11-16,0.998,0.438,0,1,0,1,0,48,441,63,286,17,2176
97,micro-tool-1097,Tool,Python,Serialization,MPL-2.0,Open Source Community,PyPI,Maintained,2023-06-16,0.644,0.403,1,1,1,0,1,28,394,65,368,31,4052
98,simple-plugin-1098-lib,Plugin,Scala,Testing,Unlicense,Open Source Community,Maven Central,Maintained,2019-01-16,0.605,0.826,0,1,0,1,1,14,912,21,249,34,64
99,light-starter-1099-client,Starter,C++,Logging,Unlicense,JetBrains,Maven Central,Active,2017-05-16,0.593,0.574,1,1,0,0,1,16,680,8,8,4,3057
100,super-machine-learning-client,Plugin,Rust,Machine Learning,ISC,Spring,Crates.io,Stable,2023-04-16,0.829,1.000,0,1,0,0,1,38,727,35,145,42,3066
101,light-library-1101,Library,C#,Machine Learning,ISC,University Research,NuGet,Stable,2016-10-16,0.926,0.774,1,1,1,0,1,41,159,4,445,2,624
102,mini-starter-1102-spring-boot-starter,Starter,Rust,Caching,GPL-3.0,University Research,Crates.io,Legacy,2021-01-16,0.645,0.598,0,1,1,0,0,22,958,81,387,7,3391
103,fast-database-driver-utils,Middleware,Swift,Database Driver,MIT,Individual Contributors,Maven Central,Active,2019-11-16,0.633,0.678,0,1,1,0,0,49,620,64,175,35,2492
104,simple-middleware-1104-lib,Middleware,Java,Code Analysis,LGPL-2.1,Eclipse Foundation,Maven Central,Stable,2016-09-16,0.731,0.639,1,0,0,1,1,14,443,89,131,13,2147
105,micro-starter-1105-lib,Starter,Java,Utilities,LGPL-2.1,Individual Contributors,Maven Central,Stable,2017-08-16,0.819,0.960,0,1,0,1,1,27,853,45,223,16,3402
106,super-plugin-1106,Plugin,Python,Testing,Unlicense,Spring,PyPI,Stable,2017-01-16,0.755,0.769,0,1,1,0,1,28,653,55,437,6,14
107,awesome-driver-1107-utils,Driver,PHP,Documentation,MIT,Amazon,Maven Central,Legacy,2022-11-16,0.783,0.729,1,1,1,0,0,36,311,3,359,12,1323
108,tool-1108,Tool,Java,UI Components,GPL-3.0,Facebook,Maven Central,Deprecated,2021-08-16,0.953,0.627,0,1,0,0,1,35,440,13,74,6,957
109,awesome-template-1109-client,Template,C++,Big Data,Apache-2.0,Amazon,Maven Central,Stable,2019-04-16,0.869,0.675,0,0,1,0,0,26,483,90,165,7,1224
110,awesome-build-tool-spring-boot-starter,Plugin,Rust,Build Tool,GPL-3.0,Amazon,Crates.io,Active,2024-01-16,0.523,0.595,0,0,1,0,1,41,860,65,381,22,3408
111,micro-api-1111-core,API,Ruby,UI Components,ISC,Apache Software Foundation,RubyGems,Deprecated,2022-12-16,0.952,0.715,0,1,1,0,0,1,24,42,318,32,4976
112,awesome-template-1112-client,Template,Go,UI Components,EPL-2.0,University Research,Go Modules,Active,2020-04-16,0.978,0.339,0,1,0,0,1,27,27,1,151,31,1062
113,super-plugin-1113-core,Plugin,Ruby,Machine Learning,Apache-2.0,Amazon,RubyGems,Experimental,2023-03-16,0.783,0.344,1,0,1,0,1,29,999,3,445,23,3132
114,light-framework-1114-client,Framework,PHP,Web Framework,Unlicense,University Research,Maven Central,Legacy,2021-09-16,0.553,0.542,1,1,1,0,1,26,90,39,360,33,3824
115,simple-api-1115-client,API,Ruby,UI Components,LGPL-2.1,VMware,RubyGems,Experimental,2017-02-16,0.761,0.134,0,0,0,0,1,2,935,76,56,35,1246
116,micro-ui-components-lib,SDK,Python,UI Components,LGPL-2.1,Apache Software Foundation,PyPI,Legacy,2020-05-16,0.948,0.988,0,0,0,0,0,43,571,7,477,23,2279
117,super-ui-components-core,Driver,Swift,UI Components,Unlicense,JetBrains,Maven Central,Legacy,2022-03-16,0.964,0.385,0,0,1,0,0,28,375,8,87,15,2943
118,library-1118-spring-boot-starter,Library,PHP,Serialization,Unlicense,Google,Maven Central,Maintained,2016-07-16,0.813,0.512,1,0,0,0,0,13,50,95,147,5,2254
119,fast-logging-api,Library,C#,Logging,AGPL-3.0,Facebook,NuGet,Active,2016-03-16,0.967,0.382,0,0,1,1,0,18,780,98,230,24,123
120,awesome-plugin-1120,Plugin,C#,Serialization,MPL-2.0,Eclipse Foundation,NuGet,Active,2023-10-16,0.695,0.699,1,1,1,0,1,21,625,0,32,37,1406
121,micro-tool-1121-api,Tool,Go,UI Components,Apache-2.0,Eclipse Foundation,Go Modules,Active,2017-11-16,0.597,0.358,0,1,1,1,0,11,94,35,198,3,3195
122,simple-machine-learning-utils,API,PHP,Machine Learning,Apache-2.0,University Research,Maven Central,Maintained,2022-12-16,0.821,0.838,0,0,0,1,0,34,78,93,179,29,3005
123,mini-serialization-utils,Starter,Swift,Serialization,MIT,Microsoft,Maven Central,Deprecated,2020-03-16,0.870,0.675,0,1,1,0,1,20,716,52,24,28,1425
124,light-library-1124-utils,Library,Go,Build Tool,Unlicense,Apache Software Foundation,Go Modules,Active,2019-05-16,0.851,0.519,0,0,1,1,1,2,638,78,216,20,4682
125,simple-documentation-spring-boot-starter,Middleware,PHP,Documentation,AGPL-3.0,Apache Software Foundation,Maven Central,Experimental,2022-10-16,0.913,0.751,0,0,0,0,1,47,671,77,151,11,718
126,super-middleware-1126-spring-boot-starter,Middleware,C++,Documentation,MIT,Individual Contributors,Maven Central,Deprecated,2016-10-16,0.620,0.297,0,1,0,0,1,4,636,27,406,14,4102
127,fast-middleware-1127-client,Middleware,TypeScript,Utilities,MIT,Facebook,npm,Stable,2020-09-16,0.522,0.689,0,1,0,0,1,28,127,90,492,1,537
128,fast-ui-components-api,Framework,JavaScript,UI Components,BSD-3-Clause,JetBrains,npm,Experimental,2017-10-16,0.659,0.130,1,0,1,0,1,35,398,13,73,43,2361
129,easy-sdk-1129-lib,SDK,Swift,Serialization,ISC,VMware,Maven Central,Legacy,2016-07-16,0.755,0.307,1,0,0,0,1,34,747,67,186,17,4587
130,awesome-tool-1130-api,Tool,Ruby,UI Components,AGPL-3.0,Open Source Community,RubyGems,Experimental,2018-12-16,0.643,0.386,0,0,1,0,0,21,699,83,390,4,3869
131,middleware-1131-client,Middleware,Python,Testing,EPL-2.0,VMware,PyPI,Maintained,2021-11-16,0.533,0.449,0,1,1,0,1,34,867,56,143,33,2285
132,easy-starter-1132-core,Starter,Rust,Serialization,MPL-2.0,Microsoft,Crates.io,Deprecated,2020-04-16,0.714,0.449,0,1,1,1,1,14,870,96,182,49,399
133,easy-template-1133-lib,Template,C++,Security,MIT,Red Hat,Maven Central,Legacy,2023-11-16,0.961,0.928,0,0,1,0,1,49,56,52,171,16,4175
134,mini-framework-1134-client,Framework,Swift,Database Driver,MIT,Red Hat,Maven Central,Maintained,2020-11-16,0.590,0.563,0,0,1,1,1,24,665,78,56,5,1755
135,super-big-data-spring-boot-starter,Library,PHP,Big Data,MPL-2.0,Red Hat,Maven Central,Active,2017-11-16,0.713,0.653,0,0,0,1,1,22,864,20,188,34,4217
136,light-plugin-1136-client,Plugin,Java,Web Framework,Unlicense,Individual Contributors,Maven Central,Active,2023-07-16,0.632,0.621,1,1,1,0,1,47,454,30,74,42,1216
137,easy-template-1137-api,Template,Swift,Big Data,MIT,University Research,Maven Central,Experimental,2020-11-16,0.852,0.187,0,0,0,0,0,28,445,76,265,8,1979
138,easy-plugin-1138-client,Plugin,Rust,Documentation,ISC,Microsoft,Crates.io,Active,2022-12-16,0.525,0.694,0,0,0,0,0,10,905,43,343,33,1590
139,mini-library-1139-utils,Library,Ruby,Machine Learning,MIT,Individual Contributors,RubyGems,Stable,2024-01-16,0.629,0.553,0,0,1,0,1,23,136,95,50,9,629
140,easy-template-1140,Template,C++,Big Data,AGPL-3.0,Facebook,Maven Central,Stable,2023-02-16,0.617,0.570,0,1,0,1,1,60,284,91,60,36,2557
141,simple-template-1141-api,Template,Rust,Caching,MPL-2.0,Open Source Community,Crates.io,Deprecated,2021-12-16,0.782,0.526,1,1,0,0,1,36,466,48,463,9,1632
142,micro-api-1142-client,API,PHP,Machine Learning,Unlicense,Spring,Maven Central,Experimental,2019-10-16,0.605,0.442,0,0,0,1,1,5,805,17,448,20,468
143,plugin-1143,Plugin,Go,Machine Learning,MIT,Open Source Community,Go Modules,Experimental,2018-04-16,0.807,0.398,0,0,1,1,1,45,90,66,407,17,1356
144,awesome-driver-1144-utils,Driver,TypeScript,Database Driver,MPL-2.0,Red Hat,npm,Deprecated,2021-03-16,0.887,0.733,0,0,0,0,1,6,812,1,80,25,2100
145,awesome-driver-1145-lib,Driver,C#,UI Components,Apache-2.0,Amazon,NuGet,Active,2019-02-16,0.869,0.899,0,1,1,1,1,50,305,63,371,43,752
146,fast-messaging-api,Plugin,TypeScript,Messaging,ISC,Apache Software Foundation,npm,Deprecated,2016-09-16,0.530,0.502,1,1,0,1,1,29,555,15,311,29,4316
147,super-api-1147-core,API,Kotlin,Big Data,ISC,Eclipse Foundation,Maven Central,Experimental,2018-05-16,0.838,0.387,0,0,1,0,0,43,694,46,346,25,949
148,template-1148-spring-boot-starter,Template,TypeScript,Web Framework,GPL-3.0,Facebook,npm,Stable,2018-01-16,0.872,0.920,0,1,1,0,1,60,592,63,446,24,1533
149,mini-sdk-1149-client,SDK,JavaScript,Machine Learning,AGPL-3.0,Open Source Community,npm,Maintained,2017-09-16,0.952,0.807,0,0,1,1,1,26,578,59,217,9,3402
150,mini-plugin-1150-lib,Plugin,Java,Messaging,ISC,Individual Contributors,Maven Central,Active,2022-02-16,0.745,0.518,1,1,0,0,1,46,283,17,181,10,3967
151,fast-template-1151-api,Template,C++,Networking,ISC,Spring,Maven Central,Deprecated,2020-11-16,0.596,0.837,0,0,0,1,1,5,429,83,95,5,1368
152,light-template-1152,Template,Python,UI Components,AGPL-3.0,JetBrains,PyPI,Stable,2017-05-16,0.819,0.622,1,1,1,1,1,32,77,81,0,2,1921
153,easy-driver-1153-api,Driver,JavaScript,Messaging,GPL-3.0,VMware,npm,Legacy,2022-11-16,0.720,0.499,0,0,0,0,1,33,143,96,294,32,4583
154,simple-caching-api,API,Python,Caching,GPL-3.0,JetBrains,PyPI,Maintained,2022-07-16,0.607,0.618,0,1,1,1,1,1,702,42,360,6,3586
155,mini-big-data-api,Middleware,C#,Big Data,MPL-2.0,VMware,NuGet,Maintained,2019-02-16,0.678,0.628,0,0,1,1,1,45,75,64,298,18,1789
156,super-tool-1156-client,Tool,Kotlin,Documentation,ISC,Google,Maven Central,Stable,2017-10-16,0.991,0.738,1,1,0,0,1,55,659,34,168,39,464
157,fast-starter-1157-client,Starter,Scala,Big Data,MPL-2.0,Microsoft,Maven Central,Legacy,2018-06-16,0.532,0.690,0,0,0,0,1,36,657,92,250,15,3687
158,simple-plugin-1158-spring-boot-starter,Plugin,Go,Database Driver,Unlicense,Facebook,Go Modules,Experimental,2017-02-16,0.803,0.575,0,0,0,0,0,26,748,25,107,8,4271
